alpha,gamma,human,zombie,dead,human_ratio
0.45,1e-08,4429,132,439,0.8858
0.45,5e-08,4445,141,414,0.889
0.45,1e-07,4408,159,433,0.8816
0.45,5e-07,4400,141,459,0.88
0.45,1e-06,4286,226,488,0.8572
0.45,5e-06,4373,161,466,0.8746
0.45,1e-05,4456,130,414,0.8912
0.45,5e-05,4427,100,473,0.8854
0.45,0.0001,4510,54,436,0.902
0.45,0.0005,4630,0,370,0.926
0.5,1e-08,4203,272,525,0.8406
0.5,5e-08,4285,234,481,0.857
0.5,1e-07,4190,263,547,0.838
0.5,5e-07,4304,227,469,0.8608
0.5,1e-06,4168,283,549,0.8336
0.5,5e-06,4162,300,538,0.8324
0.5,1e-05,4299,200,501,0.8598
0.5,5e-05,4395,135,470,0.879
0.5,0.0001,4477,84,439,0.8954
0.5,0.0005,4580,2,418,0.916
0.55,1e-08,3860,533,607,0.772
0.55,5e-08,4060,393,547,0.812
0.55,1e-07,4072,367,561,0.8144
0.55,5e-07,4072,382,546,0.8144
0.55,1e-06,4020,405,575,0.804
0.55,5e-06,3965,426,609,0.793
0.55,1e-05,4106,351,543,0.8212
0.55,5e-05,4100,266,634,0.82
0.55,0.0001,4170,200,630,0.834
0.55,0.0005,4589,1,410,0.9178
0.6,1e-08,3738,621,641,0.7476
0.6,5e-08,3733,663,604,0.7466
0.6,1e-07,3663,655,682,0.7326
0.6,5e-07,3534,781,685,0.7068
0.6,1e-06,3375,914,711,0.675
0.6,5e-06,3735,638,627,0.747
0.6,1e-05,3757,598,645,0.7514
0.6,5e-05,3878,416,706,0.7756
0.6,0.0001,3955,307,738,0.791
0.6,0.0005,4559,3,438,0.9118
0.65,1e-08,3123,1186,691,0.6246
0.65,5e-08,3160,1098,742,0.632
0.65,1e-07,2906,1308,786,0.5812
0.65,5e-07,3145,1118,737,0.629
0.65,1e-06,3144,1114,742,0.6288
0.65,5e-06,3260,955,785,0.652
0.65,1e-05,3106,1090,804,0.6212
0.65,5e-05,3564,683,753,0.7128
0.65,0.0001,3553,491,956,0.7106
0.65,0.0005,4473,13,514,0.8946
0.7,1e-08,2353,1883,764,0.4706
0.7,5e-08,2351,1899,750,0.4702
0.7,1e-07,2722,1594,684,0.5444
0.7,5e-07,2734,1569,697,0.5468
0.7,1e-06,2657,1650,693,0.5314
0.7,5e-06,2822,1457,721,0.5644
0.7,1e-05,2689,1550,761,0.5378
0.7,5e-05,2781,1213,1006,0.5562
0.7,0.0001,3271,688,1041,0.6542
0.7,0.0005,4370,22,608,0.874
0.75,1e-08,1763,2609,628,0.3526
0.75,5e-08,1715,2579,706,0.343
0.75,1e-07,1821,2497,682,0.3642
0.75,5e-07,1977,2340,683,0.3954
0.75,1e-06,1653,2610,737,0.3306
0.75,5e-06,1972,2341,687,0.3944
0.75,1e-05,2095,2173,732,0.419
0.75,5e-05,2299,1715,986,0.4598
0.75,0.0001,2756,1149,1095,0.5512
0.75,0.0005,4313,16,671,0.8626
0.8,1e-08,1095,3381,524,0.219
0.8,5e-08,1353,3143,504,0.2706
0.8,1e-07,1213,3256,531,0.2426
0.8,5e-07,1331,3155,514,0.2662
0.8,1e-06,1179,3293,528,0.2358
0.8,5e-06,1037,3362,601,0.2074
0.8,1e-05,1283,3073,644,0.2566
0.8,5e-05,1419,2527,1054,0.2838
0.8,0.0001,2183,1606,1211,0.4366
0.8,0.0005,4105,54,841,0.821
0.85,1e-08,526,4182,292,0.1052
0.85,5e-08,387,4308,305,0.0774
0.85,1e-07,231,4488,281,0.0462
0.85,5e-07,569,4168,263,0.1138
0.85,1e-06,361,4314,325,0.0722
0.85,5e-06,515,4130,355,0.103
0.85,1e-05,574,3934,492,0.1148
0.85,5e-05,1005,2978,1017,0.201
0.85,0.0001,1352,2310,1338,0.2704
0.85,0.0005,3870,126,1004,0.774
0.9,1e-08,71,4929,0,0.0142
0.9,5e-08,73,4925,2,0.0146
0.9,1e-07,71,4926,3,0.0142
0.9,5e-07,71,4913,16,0.0142
0.9,1e-06,72,4909,19,0.0144
0.9,5e-06,87,4811,102,0.0174
0.9,1e-05,147,4649,204,0.0294
0.9,5e-05,200,3866,934,0.04
0.9,0.0001,771,2870,1359,0.1542
0.9,0.0005,3915,127,958,0.783
