alpha,gamma,human,zombie,dead,human_ratio
0.45,1e-08,4458,177,365,0.8916
0.45,5e-08,4503,163,334,0.9006
0.45,1e-07,4440,191,369,0.888
0.45,5e-07,4468,176,356,0.8936
0.45,1e-06,4459,182,359,0.8918
0.45,5e-06,4494,146,360,0.8988
0.45,1e-05,4421,197,382,0.8842
0.45,5e-05,4536,99,365,0.9072
0.45,0.0001,4507,87,406,0.9014
0.45,0.0005,4673,1,326,0.9346
0.5,1e-08,4387,212,401,0.8774
0.5,5e-08,4329,277,394,0.8658
0.5,1e-07,4282,326,392,0.8564
0.5,5e-07,4334,275,391,0.8668
0.5,1e-06,4421,235,344,0.8842
0.5,5e-06,4442,219,339,0.8884
0.5,1e-05,4338,248,414,0.8676
0.5,5e-05,4451,150,399,0.8902
0.5,0.0001,4409,110,481,0.8818
0.5,0.0005,4633,4,363,0.9266
0.55,1e-08,4223,375,402,0.8446
0.55,5e-08,4137,439,424,0.8274
0.55,1e-07,4185,396,419,0.837
0.55,5e-07,4222,369,409,0.8444
0.55,1e-06,4191,390,419,0.8382
0.55,5e-06,4203,372,425,0.8406
0.55,1e-05,4272,326,402,0.8544
0.55,5e-05,4207,277,516,0.8414
0.55,0.0001,4270,162,568,0.854
0.55,0.0005,4599,8,393,0.9198
0.6,1e-08,4036,529,435,0.8072
0.6,5e-08,4076,493,431,0.8152
0.6,1e-07,4012,558,430,0.8024
0.6,5e-07,3979,577,444,0.7958
0.6,1e-06,4037,526,437,0.8074
0.6,5e-06,4001,552,447,0.8002
0.6,1e-05,4027,491,482,0.8054
0.6,5e-05,4209,274,517,0.8418
0.6,0.0001,4145,251,604,0.829
0.6,0.0005,4529,8,463,0.9058
0.65,1e-08,3755,788,457,0.751
0.65,5e-08,3787,772,441,0.7574
0.65,1e-07,3665,881,454,0.733
0.65,5e-07,3701,836,463,0.7402
0.65,1e-06,3738,834,428,0.7476
0.65,5e-06,3705,802,493,0.741
0.65,1e-05,3674,792,534,0.7348
0.65,5e-05,3951,475,574,0.7902
0.65,0.0001,4077,298,625,0.8154
0.65,0.0005,4550,11,439,0.91
0.7,1e-08,3449,1100,451,0.6898
0.7,5e-08,3498,1043,459,0.6996
0.7,1e-07,3280,1239,481,0.656
0.7,5e-07,3518,1049,433,0.7036
0.7,1e-06,3194,1327,479,0.6388
0.7,5e-06,3478,1067,455,0.6956
0.7,1e-05,3324,1179,497,0.6648
0.7,5e-05,3639,723,638,0.7278
0.7,0.0001,3786,488,726,0.7572
0.7,0.0005,4472,20,508,0.8944
0.75,1e-08,2922,1613,465,0.5844
0.75,5e-08,2849,1730,421,0.5698
0.75,1e-07,2901,1663,436,0.5802
0.75,5e-07,2839,1747,414,0.5678
0.75,1e-06,2915,1616,469,0.583
0.75,5e-06,3016,1541,443,0.6032
0.75,1e-05,2950,1548,502,0.59
0.75,5e-05,3174,1126,700,0.6348
0.75,0.0001,3520,677,803,0.704
0.75,0.0005,4265,42,693,0.853
0.8,1e-08,2106,2530,364,0.4212
0.8,5e-08,2347,2294,359,0.4694
0.8,1e-07,2405,2225,370,0.481
0.8,5e-07,2170,2441,389,0.434
0.8,1e-06,2408,2243,349,0.4816
0.8,5e-06,2428,2156,416,0.4856
0.8,1e-05,2292,2273,435,0.4584
0.8,5e-05,2490,1690,820,0.498
0.8,0.0001,2876,1132,992,0.5752
0.8,0.0005,4188,25,787,0.8376
0.85,1e-08,1569,3223,208,0.3138
0.85,5e-08,1134,3639,227,0.2268
0.85,1e-07,1315,3454,231,0.263
0.85,5e-07,1360,3389,251,0.272
0.85,1e-06,1386,3378,236,0.2772
0.85,5e-06,1322,3390,288,0.2644
0.85,1e-05,1401,3221,378,0.2802
0.85,5e-05,1686,2473,841,0.3372
0.85,0.0001,2168,1674,1158,0.4336
0.85,0.0005,3829,120,1051,0.7658
0.9,1e-08,314,4686,0,0.0628
0.9,5e-08,28,4972,0,0.0056
0.9,1e-07,35,4963,2,0.007
0.9,5e-07,56,4934,10,0.0112
0.9,1e-06,72,4906,22,0.0144
0.9,5e-06,150,4741,109,0.03
0.9,1e-05,338,4463,199,0.0676
0.9,5e-05,945,3287,768,0.189
0.9,0.0001,1547,2269,1184,0.3094
0.9,0.0005,3575,201,1224,0.715
