alpha,gamma,human,zombie,dead,human_ratio
0.4,1e-06,4551,137,312,0.9102
0.4,5e-06,4514,152,334,0.9028
0.4,1e-05,4529,122,349,0.9058
0.4,5e-05,4559,90,351,0.9118
0.4,0.0001,4593,50,357,0.9186
0.4,0.0005,4669,0,331,0.9338
0.4,0.001,4694,0,306,0.9388
0.45,1e-06,4467,168,365,0.8934
0.45,5e-06,4439,186,375,0.8878
0.45,1e-05,4530,120,350,0.906
0.45,5e-05,4504,105,391,0.9008
0.45,0.0001,4586,67,347,0.9172
0.45,0.0005,4653,2,345,0.9306
0.45,0.001,4689,0,311,0.9378
0.5,1e-06,4308,296,396,0.8616
0.5,5e-06,4343,247,410,0.8686
0.5,1e-05,4268,286,446,0.8536
0.5,5e-05,4425,142,433,0.885
0.5,0.0001,4489,82,429,0.8978
0.5,0.0005,4629,2,369,0.9258
0.5,0.001,4688,0,312,0.9376
0.55,1e-06,4215,378,407,0.843
0.55,5e-06,4263,328,409,0.8526
0.55,1e-05,4278,306,416,0.8556
0.55,5e-05,4255,255,490,0.851
0.55,0.0001,4391,112,497,0.8782
0.55,0.0005,4594,2,404,0.9188
0.55,0.001,4668,0,332,0.9336
0.6,1e-06,4033,551,416,0.8066
0.6,5e-06,4016,557,427,0.8032
0.6,1e-05,4102,449,449,0.8204
0.6,5e-05,4050,390,560,0.81
0.6,0.0001,4201,246,553,0.8402
0.6,0.0005,4595,5,400,0.919
0.6,0.001,4632,0,368,0.9264
0.65,1e-06,3645,865,490,0.729
0.65,5e-06,3733,786,481,0.7466
0.65,1e-05,3738,770,492,0.7476
0.65,5e-05,4029,420,551,0.8058
0.65,0.0001,3988,349,663,0.7976
0.65,0.0005,4438,7,555,0.8876
0.65,0.001,4635,1,364,0.927
0.7,1e-06,3393,1152,455,0.6786
0.7,5e-06,3561,984,455,0.7122
0.7,1e-05,3429,1058,513,0.6858
0.7,5e-05,3543,813,644,0.7086
0.7,0.0001,3796,512,692,0.7592
0.7,0.0005,4413,5,582,0.8826
0.7,0.001,4562,0,438,0.9124
0.75,1e-06,2659,1888,453,0.5318
0.75,5e-06,2896,1664,440,0.5792
0.75,1e-05,2726,1752,522,0.5452
0.75,5e-05,3220,1044,736,0.644
0.75,0.0001,3442,707,851,0.6884
0.75,0.0005,4299,27,674,0.8598
0.75,0.001,4571,0,429,0.9142
0.8,1e-06,2307,2351,342,0.4614
0.8,5e-06,2229,2338,433,0.4458
0.8,1e-05,2388,2153,459,0.4776
0.8,5e-05,2397,1814,789,0.4794
0.8,0.0001,2812,1128,1060,0.5624
0.8,0.0005,4160,52,788,0.832
0.8,0.001,4530,0,470,0.906
0.85,1e-06,1410,3333,257,0.282
0.85,5e-06,1567,3168,265,0.3134
0.85,1e-05,1363,3275,362,0.2726
0.85,5e-05,1844,2386,770,0.3688
0.85,0.0001,2245,1657,1098,0.449
0.85,0.0005,4067,110,823,0.8134
0.85,0.001,4481,0,519,0.8962
