alpha,gamma,human,zombie,dead,human_ratio
0.45,1e-08,4454,160,386,0.8908
0.45,5e-08,4448,152,400,0.8896
0.45,1e-07,4423,143,434,0.8846
0.45,5e-07,4396,184,420,0.8792
0.45,1e-06,4391,184,425,0.8782
0.45,5e-06,4432,145,423,0.8864
0.45,1e-05,4510,101,389,0.902
0.45,5e-05,4496,106,398,0.8992
0.45,0.0001,4441,97,462,0.8882
0.45,0.0005,4656,0,344,0.9312
0.5,1e-08,4162,318,520,0.8324
0.5,5e-08,4250,249,501,0.85
0.5,1e-07,4226,282,492,0.8452
0.5,5e-07,4338,214,448,0.8676
0.5,1e-06,4198,288,514,0.8396
0.5,5e-06,4401,175,424,0.8802
0.5,1e-05,4326,208,466,0.8652
0.5,5e-05,4436,119,445,0.8872
0.5,0.0001,4427,79,494,0.8854
0.5,0.0005,4599,3,398,0.9198
0.55,1e-08,3983,464,553,0.7966
0.55,5e-08,3967,448,585,0.7934
0.55,1e-07,4032,426,542,0.8064
0.55,5e-07,3972,476,552,0.7944
0.55,1e-06,3946,486,568,0.7892
0.55,5e-06,3898,499,603,0.7796
0.55,1e-05,4182,298,520,0.8364
0.55,5e-05,4206,238,556,0.8412
0.55,0.0001,4306,147,547,0.8612
0.55,0.0005,4569,3,428,0.9138
0.6,1e-08,3712,654,634,0.7424
0.6,5e-08,3647,710,643,0.7294
0.6,1e-07,3744,621,635,0.7488
0.6,5e-07,3904,524,572,0.7808
0.6,1e-06,3750,670,580,0.75
0.6,5e-06,3686,666,648,0.7372
0.6,1e-05,3915,504,581,0.783
0.6,5e-05,4083,320,597,0.8166
0.6,0.0001,3955,313,732,0.791
0.6,0.0005,4567,0,433,0.9134
0.65,1e-08,3211,1077,712,0.6422
0.65,5e-08,3143,1168,689,0.6286
0.65,1e-07,3313,1017,670,0.6626
0.65,5e-07,3237,1072,691,0.6474
0.65,1e-06,3327,1000,673,0.6654
0.65,5e-06,3363,940,697,0.6726
0.65,1e-05,3221,1068,711,0.6442
0.65,5e-05,3694,571,735,0.7388
0.65,0.0001,3986,354,660,0.7972
0.65,0.0005,4470,3,527,0.894
0.7,1e-08,2749,1597,654,0.5498
0.7,5e-08,2969,1408,623,0.5938
0.7,1e-07,2753,1560,687,0.5506
0.7,5e-07,2724,1625,651,0.5448
0.7,1e-06,2883,1468,649,0.5766
0.7,5e-06,2870,1470,660,0.574
0.7,1e-05,2921,1414,665,0.5842
0.7,5e-05,2919,1135,946,0.5838
0.7,0.0001,3388,724,888,0.6776
0.7,0.0005,4496,3,501,0.8992
0.75,1e-08,2162,2215,623,0.4324
0.75,5e-08,2073,2351,576,0.4146
0.75,1e-07,2036,2392,572,0.4072
0.75,5e-07,2150,2223,627,0.43
0.75,1e-06,2221,2171,608,0.4442
0.75,5e-06,2234,2130,636,0.4468
0.75,1e-05,2304,2024,672,0.4608
0.75,5e-05,2532,1526,942,0.5064
0.75,0.0001,2801,1135,1064,0.5602
0.75,0.0005,4260,52,688,0.852
0.8,1e-08,1570,2973,457,0.314
0.8,5e-08,1402,3132,466,0.2804
0.8,1e-07,1346,3184,470,0.2692
0.8,5e-07,1415,3116,469,0.283
0.8,1e-06,1445,3079,476,0.289
0.8,5e-06,1424,3036,540,0.2848
0.8,1e-05,1473,2926,601,0.2946
0.8,5e-05,1686,2336,978,0.3372
0.8,0.0001,2259,1579,1162,0.4518
0.8,0.0005,4195,35,770,0.839
0.85,1e-08,916,3817,267,0.1832
0.85,5e-08,653,4058,289,0.1306
0.85,1e-07,822,3914,264,0.1644
0.85,5e-07,864,3833,303,0.1728
0.85,1e-06,699,4012,289,0.1398
0.85,5e-06,738,3922,340,0.1476
0.85,1e-05,949,3632,419,0.1898
0.85,5e-05,1068,3042,890,0.2136
0.85,0.0001,1793,2024,1183,0.3586
0.85,0.0005,3961,60,979,0.7922
0.9,1e-08,195,4805,0,0.039
0.9,5e-08,129,4870,1,0.0258
0.9,1e-07,192,4805,3,0.0384
0.9,5e-07,106,4885,9,0.0212
0.9,1e-06,226,4759,15,0.0452
0.9,5e-06,139,4745,116,0.0278
0.9,1e-05,181,4613,206,0.0362
0.9,5e-05,495,3573,932,0.099
0.9,0.0001,931,2778,1291,0.1862
0.9,0.0005,3986,89,925,0.7972
